序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
38,920038,森合高科,3.19,839751554.84,34.8292193479,-8.6453,272284612.15,81.7789291791,-11.9819,9.535480258221,40.15,2.854514755598,46.3541451202,化学制品,2026-07-23
39,875178,乐捷股份,0.44,859005672.31,2.8325280332,,51683938.91,-20.6431195597,,1.853466864315,24.62,0.486047236423,35.1666044542,,2026-07-23
40,688828,国仪公司,-0.02,666191844.51,32.8472211509,,-5797240.33,92.1743743607,,2.086213890472,-0.78,0.328722935,46.9751522777,通用设备,2026-07-23
41,002569,*ST步森,0.06,140057603.9,5.8674384538,37.8783,8672699.5,116.87,198.9831,0.304732260885,22.89,0.032193177696,31.3263958102,服装家纺,2026-07-23
42,835330,东奇科技,-0.4398,,-100.0,,-6387835.3,-423.46,,0.246542862237,,0.348439556944,,,2026-07-22
43,688825,长鑫科技,0.03,61799321546.81,155.5988333977,78.518,1874859379.01,126.2405733457,342.7082,0.942865369463,3.83,0.606714005586,40.9938403588,半导体,2026-07-22
44,688613,奥精医疗,0.1,223736817.67,8.5927019608,20.8097,13839244.09,209.3,-101.6993,10.470926066501,0.97,0.288243650412,68.6590732092,医疗器械,2026-07-22
45,875173,康泰装备,1.91,161414605.66,21.5425322175,,43862849.0,41.4207566895,,1.742310395217,79.99,2.531553354783,41.5186356253,,2026-07-21
46,839768,瑞科汉斯,-0.33,66465698.6,-27.7075495972,,-34537734.49,-528.52,,1.799990228721,-16.81,-0.077737061643,20.1832833214,,2026-07-21
47,688512,慧智微,-0.49,807273689.37,54.0637017811,12.2348,-229014946.68,47.7632091535,-86.6981,3.514148220915,-13.29,-0.687237876853,7.0842753645,半导体,2026-07-21
48,920258,聚仁新材,0.3383,635022003.12,32.6302848385,,121792334.19,46.1211806164,,2.25,16.26,0.361858764139,32.1105504704,化学制品,2026-07-20
49,874571,宇特光电,1.31,333244385.95,31.6190584531,,69169480.4,48.9210752185,,6.389849659245,22.82,0.843922146415,34.6171580929,,2026-07-20
50,874332,文峰光电,1.18,229767889.16,18.4067818207,-36.0156,70980967.46,22.1110507857,-69.8235,9.481495249667,13.17,1.322810964167,57.2670770059,,2026-07-20
51,430471,豪威尔,-0.07,25215198.52,-35.566093783,,-4114002.01,-3166.39,,1.434668778095,-4.0,0.179291429982,17.5792830125,,2026-07-20
52,002330,得利斯,-0.016,3147334762.78,6.155772918,-2.8427,-10302323.11,69.4,-220.5836,3.6044128362,-0.45,0.032667051379,5.9853183823,食品加工,2026-07-18
53,000890,法尔胜,-0.16,310079761.41,-0.7010912332,38.2424,-67673072.59,36.12,-480.9195,0.068495646029,,0.08132274079,8.3001179932,环保设备Ⅱ,2026-07-18
54,874586,方意股份,1.28,277118721.01,9.4412587242,-3.722,51059531.66,10.6715312735,-12.9341,9.894715398746,14.21,1.969346835143,37.5185594178,,2026-07-17
55,874421,旭阳新材,0.87,1308552497.35,18.057698386,,102905311.92,39.7018890083,,6.351952321149,14.63,0.449049242485,19.7720384978,,2026-07-17
56,874103,钜芯科技,0.64,606142377.22,7.3903099803,-14.9912,57257885.11,8.34,-9.0655,5.493161588,12.4,-0.709852841222,16.2907321466,,2026-07-17
57,870383,中科巨龙,-0.07,1270440.67,-14.226688863,,-807711.62,1.0859896706,,0.157126906364,-37.88,-0.083177069091,39.6148424625,,2026-07-17
58,603313,梦百合,-0.02,8912075395.97,5.4760094111,-11.6297,-9822497.95,93.51,-468.3558,6.132685990811,-0.28,1.547657820649,39.2769919779,家居用品,2026-07-17
59,301707,展芯股份,0.62,639179934.5,54.9195349342,,228116249.99,139.2302632467,,3.806256421644,19.17,0.006267526438,80.8117159832,半导体,2026-07-17
60,920065,千岸科技,3.02,1980922681.19,18.8213375047,28.0607,219506626.96,52.2376510373,46.3336,9.487121578832,37.31,3.159007387904,43.4226592092,互联网电商,2026-07-16
61,833393,ST速达科,-0.1,502750.05,-64.2891689284,,-12757271.44,52.41,,-0.233663978207,,0.00278551532,3.8595480995,,2026-07-16
62,603468,津富士达,1.0298,5060827127.66,3.7020462123,,382063389.55,-6.3276721304,,7.518177795649,13.99,1.689881889918,13.6215799934,摩托车及其他,2026-07-16
63,875206,中路交科,1.97,500634319.41,-11.7376926686,,117983898.03,-16.907284567,,12.398928682667,17.1,3.655569496833,44.8187285591,,2026-07-15
64,874798,环能涡轮,2.7,559520345.14,31.1971993698,5.739,178256820.78,10.6367418186,0.5211,13.96,21.47,2.309546583636,42.555421798,,2026-07-15
65,875021,海创光电,0.21,642807252.4,-2.6862531823,,13885087.08,-78.7478519853,,12.493861623179,1.72,0.300080837446,30.6568711809,,2026-07-14
66,600593,大连圣亚,0.21,506728202.31,0.2942401025,-67.9338,27257165.73,138.837703861,-147.2846,1.482421501399,16.87,1.460480533098,59.4956670333,旅游及景区,2026-07-14
67,920238,长鹰硬科,1.62,1216029054.01,25.1232762517,14.0424,124712152.82,96.4395432181,84.342,9.984044471545,17.27,-3.960430068853,23.2065931903,通用设备,2026-07-13
68,002866,传艺科技,0.3,2145726021.24,9.7587241527,-5.4808,85840810.26,216.83,-36.5522,7.232704301634,4.19,0.869787281466,22.5392109371,消费电子,2026-07-13
69,600498,烽火通信,0.36,24918554533.91,-12.7160244745,31.7745,435834532.08,-37.98,-133.9872,12.912941151141,3.14,3.513967088479,21.0980386512,通信设备,2026-07-11
70,874669,德硕科技,1.76,1068095614.28,10.7868857683,18.2902,87831990.96,21.3086135996,47.7189,9.4522683134,20.49,3.2833061064,18.3820649242,,2026-07-10
71,874543,百利食品,1.81,2148924696.73,12.3934579369,-4.9355,321931495.52,16.6496008275,-12.702,7.397352666573,27.94,2.222455514326,32.066749417,,2026-07-10
72,871700,飞宇电力,-0.38,73258462.95,-40.5823104268,,-10772688.95,27.69,,0.734158562702,-41.34,-0.535044976027,16.1404755217,,2026-07-10
73,688017,绿的谐波,0.6924,570714025.26,47.3147581403,5.6815,124366913.57,121.42,-23.7296,19.292156077622,3.57,0.829125334802,36.9051531639,自动化设备,2026-07-10
74,400133,丹邦3,-1.05,8182984.04,-17.3997977344,,-575122963.18,-76.75,,-0.869636843919,,0.00540175949,75.7376523002,,2026-07-10
75,301677,欣兴工具,2.63,511643951.69,9.4958047239,,197608484.11,6.5431152654,,17.979719592133,15.81,3.097587756933,55.68416988,通用设备,2026-07-10
76,920176,维琪科技,1.82,275305427.93,11.1742286758,-14.295,90846741.64,28.5980426801,-26.4968,11.9450379112,16.27,1.80305306,68.4332024823,化妆品,2026-07-09
77,301383,天键股份,-0.2,1863974210.05,-16.3141177606,-37.6914,-32717741.12,-115.45,-58.4922,12.129436507829,-1.62,0.104230848725,12.4004831877,消费电子,2026-07-09
78,875132,邦迪智能,1.65,423236627.07,168.8594774455,,52412126.98,311.447323285,,5.862032487497,42.11,0.033704562133,26.5221898036,,2026-07-08
79,874955,博测达,1.05,397509779.98,43.8435462976,,62474198.04,59.2036756365,,7.402803197667,20.52,-0.431102882167,35.8237675051,,2026-07-08
80,301125,腾亚精工,0.02,621087020.12,2.3824580675,12.9671,4884426.98,-53.01,836.4272,4.242336115188,0.81,0.461139901601,23.3690641421,通用设备,2026-07-08
81,833484,万邦工具,0.38,75330661.19,5.5129418223,,15549972.66,19.41,,3.718423188618,10.57,0.312535568901,39.4741143118,,2026-07-07
82,920079,乔路铭,1.17,3171246137.13,-6.0346917468,9.0001,426881720.17,2.4387707305,31.3657,4.643836957728,28.8,1.705810928273,23.6996345929,汽车零部件,2026-07-06
83,875159,泰克曼,1.3,292353484.77,-1.5793012077,,74740714.03,-4.6988706303,,4.269942571212,34.06,1.309777537727,50.0134920386,,2026-07-06
84,300656,民德电子,-0.5981,303159176.05,-25.957451411,-16.1196,-101787784.06,10.65,-320.9397,5.125551836963,-10.82,0.020759715444,36.16503993,其他电子Ⅱ,2026-07-06
85,874672,爱思益普,1.85,263930040.12,35.1784379679,,44668897.37,412.43,,11.954143159969,16.88,2.913118267338,49.3992663703,,2026-07-03
86,874637,百瑞吉,1.27,283870698.43,22.7669944895,43.1668,76340095.1,45.9333238085,25.8383,5.323445185333,27.31,1.3114085495,80.8793592998,,2026-07-03
87,874445,科金明,2.34,984219466.38,11.8222057598,128.0387,64550787.97,43.0943296803,1148.4244,12.917670908001,19.99,1.18343553719,28.3912144319,,2026-07-03
88,874236,华晟智能,2.37,1000378042.32,36.9615683601,69.7373,118707984.3,43.2427655597,39.5052,8.2356789066,33.72,2.4482969602,24.6331616674,,2026-07-03
89,873392,华夏电梯,-0.1,78533495.7,-32.9655329136,,-6235324.14,-29.8831451785,,0.686003604548,-13.84,-0.113462469241,25.2011043869,,2026-07-03
90,872824,先歌国际,0.32,485667608.49,5.0825036326,23.3217,63143434.54,19.439286552,193.6839,2.2903958358,14.84,0.36433332505,43.7644070954,,2026-07-03
91,834044,富泰和,0.99,906844852.3,5.8880651663,-9.852,87108067.67,13.885410135,-72.6138,7.559005570173,13.88,1.961128160331,29.0926030821,,2026-07-03
92,920117,龙鑫智能,1.75,634336429.49,4.9604921696,97.1674,118149563.78,-1.6680764515,246.2795,9.987306750137,19.36,1.693927306837,35.6818417542,通用设备,2026-07-02
93,874321,力克川,0.81,245400528.14,12.2736219434,,57220384.27,35.58,,4.124166488209,24.67,0.758031768314,37.7763863724,,2026-07-02
94,873074,富士智能,0.61,1189321517.45,22.0069193847,,87541101.07,6.9666564779,,5.061021254992,12.9,0.92805381153,19.4252896606,,2026-07-02
95,688806,泰诺麦博,-1.56,51224946.56,240.2310536901,,-601318573.6,-16.8134401875,,0.26479026747,-195.86,-1.481647013719,43.5106889841,生物制品,2026-07-02
96,300777,中简科技,0.72,846092620.66,4.1382970737,-26.5173,314642566.35,-11.65,-69.7744,10.365447679624,7.13,2.000535154939,64.8488780628,航空装备Ⅱ,2026-07-02
97,900922,三毛B股,0.06,1535539312.23,27.6559215711,98.1334,11413692.14,-38.14,-198.136,2.338571886949,2.45,-0.053253933529,4.0914846197,综合Ⅱ,2026-07-01
98,874697,图特股份,1.46,933699430.04,2.7355866609,,123526137.41,-6.0422704524,,8.094947263584,19.86,2.033845171462,29.7624275971,,2026-07-01
