code,published,title,source,url,sentiment,positive_hits,negative_hits,risk_hits
688195,2026-08-04 16:49:00,共封装光学(CPO)概念上涨6.76%，58股主力资金净流入超亿元,证券时报网,http://finance.eastmoney.com/a/202608043831237778.html,0.0,0,0,0
301377,2026-08-05 16:55:00,机械设备行业今日涨3.20%，主力资金净流入47.01亿元,证券时报网,http://finance.eastmoney.com/a/202608053832637680.html,0.0,0,0,0
301377,2026-08-03 10:21:00,【数据揭秘】融资客看好个股一览,证券时报网,http://finance.eastmoney.com/a/202608033829554913.html,0.0,0,0,0
301377,2026-08-03 09:37:00,创业板融资余额增加7.72亿元，23股获融资客大手笔加仓,证券时报网,http://finance.eastmoney.com/a/202608033829367530.html,0.0,0,0,0
301377,2026-07-28 11:54:00,通用设备概念走弱，通用设备制造等八行业试点征收挥发性有机物环保税|异动情报,21世纪经济报道,http://finance.eastmoney.com/a/202607283823304059.html,0.0,0,0,0
301377,2026-07-28 11:54:00,通用设备概念走弱，8行业试点征收挥发性有机物环保税|异动情报,南方财经网,http://finance.eastmoney.com/a/202607283823304516.html,0.0,0,0,0
301377,2026-07-30 17:45:00,机械设备行业今日净流出资金53.56亿元，华工科技等16股净流出资金超亿元,证券时报网,http://finance.eastmoney.com/a/202607303826815019.html,0.0,0,0,0
301377,2026-07-27 19:17:00,强势股追踪 主力资金连续5日净流入114股,证券时报网,http://finance.eastmoney.com/a/202607273822271049.html,0.0,0,0,0
301377,2026-08-03 18:11:00,深沪北百元股数量达170只，电子行业占比最高,证券时报网,http://finance.eastmoney.com/a/202608033829906556.html,0.0,0,0,0
301377,2026-06-16 15:29:00,刚刚，301377，又一只“30倍股”诞生！,数据宝,http://finance.eastmoney.com/a/202606163773009189.html,0.0,0,0,0
301377,2026-07-27 19:18:00,机械设备行业今日净流入资金37.89亿元，正帆科技等15股净流入资金超亿元,证券时报网,http://finance.eastmoney.com/a/202607273822271421.html,0.0,0,0,0
688498,2026-07-30 16:58:18,源杰科技688498龙虎榜数据(07-30),东方财富Choice数据,http://finance.eastmoney.com/a/202607303826748819.html,0.0,0,0,0
688498,2026-07-28 16:57:09,源杰科技688498龙虎榜数据(07-28,东方财富Choice数据,http://finance.eastmoney.com/a/202607283823550316.html,0.0,0,0,0
688498,2026-07-26 08:45:00,688498，火了！353家机构“扎堆”调研,华夏时报,http://finance.eastmoney.com/a/202607263821189362.html,0.0,0,0,0
688498,2026-07-25 12:04:00,688498，353家机构“扎堆”调研,中国基金报,http://finance.eastmoney.com/a/202607253821111448.html,0.0,0,0,0
688498,2026-08-03 11:46:21,8月3日午前CPO板块持续反弹 铭普光磁直线涨停,央广财经,http://finance.eastmoney.com/a/202608033829616248.html,0.0,0,0,0
688498,2026-08-05 09:22:00,31股受融资客青睐，净买入超亿元,证券时报网,http://finance.eastmoney.com/a/202608053832055192.html,0.0,0,0,0
688498,2026-08-04 18:14:00,8月4日科创板主力资金净流入75.51亿元,证券时报网,http://finance.eastmoney.com/a/202608043831314742.html,0.0,0,0,0
688498,2026-08-05 16:55:00,电子行业今日净流入资金313.18亿元，工业富联等80股净流入资金超亿元,证券时报网,http://finance.eastmoney.com/a/202608053832635452.html,0.0,0,0,0
688498,2026-07-30 17:15:00,7月30日龙虎榜机构席位买卖详情,南方财经网,http://finance.eastmoney.com/a/202607303826787523.html,0.0,0,0,0
688498,2026-08-05 10:18:00,科创板股融资融券余额每日变动（8月4日）,证券时报网,http://finance.eastmoney.com/a/202608053832287894.html,0.0,0,0,0
603516,2026-07-30 17:47:00,淳中科技：拟0元受让广州淳信49%股权 实现全资控股,财中社,http://finance.eastmoney.com/a/202607303826812614.html,0.0,0,0,0
603516,2026-08-05 09:53:00,融资客控盘比例超一成个股（附名单）,证券时报网,http://finance.eastmoney.com/a/202608053832233382.html,0.0,0,0,0
603516,2026-08-04 09:46:00,融资客控盘比例超一成个股（附名单）,证券时报网,http://finance.eastmoney.com/a/202608043830752873.html,0.0,0,0,0
603516,2026-07-24 19:36:00,淳中科技：拟5000万元—1亿元回购股份,证券时报网,http://finance.eastmoney.com/a/202607243820654414.html,1.0,1,0,0
603516,2026-07-24 19:52:00,淳中科技：拟回购5000万元至1亿元股份,财中社,http://finance.eastmoney.com/a/202607243820669617.html,1.0,1,0,0
603516,2026-07-20 18:08:00,淳中科技：董事长提议以5000万元—1亿元回购股份,证券时报网,http://finance.eastmoney.com/a/202607203813412118.html,1.0,1,0,0
603516,2026-07-27 19:17:00,9.07亿元资金今日流出计算机股,证券时报网,http://finance.eastmoney.com/a/202607273822272560.html,0.0,0,0,0
603516,2026-07-20 18:11:00,淳中科技：拟回购5000万元至1亿元股份,财中社,http://finance.eastmoney.com/a/202607203813411271.html,1.0,1,0,0
603516,2026-07-20 18:03:18,淳中科技：董事长提议5000万元至1亿元回购股份 用于减少注册资本,每日经济新闻,http://finance.eastmoney.com/a/202607203813403482.html,1.0,1,0,0
603516,2026-07-20 18:02:02,淳中科技：董事长提议5000万元-1亿元回购股份 用于减少注册资本,财联社,http://finance.eastmoney.com/a/202607203813402531.html,1.0,1,0,0
600113,2026-07-29 20:19:00,商贸零售行业7月29日资金流向日报,证券时报网,http://finance.eastmoney.com/a/202607293825290363.html,0.0,0,0,0
