序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
38,688835,高凯技术,,173211500.0,50.4969893912,76.151,53658200.0,104.9963324062,126.1295,,,,,,2026-06-24
39,874915,中维化纤,0.05,227349481.43,6.1864241002,,18794808.55,-9.4623093677,,2.316088650824,2.17,0.170796676728,22.2361578755,,2026-06-23
40,874874,安保医疗,0.03,69377312.86,67.439761968,,2953349.48,135.6827609009,,2.94033559646,1.02,0.107886124814,57.9070150801,,2026-06-23
41,874720,祥晋股份,0.29,247959986.66,49.9453121794,-35.1626,18466765.24,1470.7101088061,-43.1428,6.341306120965,4.67,0.035255700316,15.2923957977,,2026-06-23
42,874382,九目化学,0.22,225717139.15,8.4892087589,30.2189,40770548.57,-16.0338083408,48.2804,6.437431130613,3.44,0.136701047787,38.0679092441,,2026-06-23
43,874332,文峰光电,0.35,64301807.33,26.7608697388,71.795,21054009.33,52.8215097514,306.1952,9.832395405167,3.63,0.026439933167,59.8651224256,,2026-06-23
44,873464,皇裕精密,0.1,213131433.67,0.3086758355,-14.1033,10231347.44,-56.4379648655,-58.9064,4.407697595842,2.33,-0.028169116423,23.807819896,,2026-06-23
45,873024,玫瑰岛,0.21,172959553.07,5.7919663118,,12526516.26,19.9071333309,,10.401918069841,2.02,-0.276314054579,31.7595828475,,2026-06-23
46,875011,优云科技,0.77,646766222.54,37.910565146,,69330692.71,44.3258216493,,9.203883946556,8.75,2.214820176444,19.6758245182,,2026-06-22
47,874901,星网信通,0.06,75971848.86,-50.1364776517,,4966910.08,-75.8483730904,,5.382517737328,1.18,-0.494124266291,36.7135342479,,2026-06-22
48,874736,裕富照明,0.4,103443477.58,0.1419294811,,11903965.95,-32.2402517953,,15.815321071667,2.54,0.539742010333,33.8467812269,,2026-06-22
49,874723,信联电科,0.15,110429001.25,12.4573290831,,17451302.36,48.8529505584,,3.517660986168,4.42,0.038103674032,36.8092500248,,2026-06-22
50,874591,日信高科,0.59,101772621.05,65.5476311043,,18088892.67,296.5,,14.647380444732,4.13,0.219733591334,46.2968703998,,2026-06-22
51,874347,泓毅股份,0.42,790885312.42,6.4265197888,,65706142.66,3.2913110746,,8.989339318305,4.83,-0.177108006256,17.6020977775,,2026-06-22
52,874191,华益泰康,0.12,53333126.63,-39.1019694022,-19.7041,7451395.99,-74.2527544805,-10.0892,7.186673503364,1.74,0.613430218325,71.3301408783,,2026-06-22
53,830978,先临三维,0.32,455605766.84,50.9830978941,-6.4701,130402489.3,118.90941059,-8.4897,5.285830312371,6.3,0.013370401692,75.1689894084,,2026-06-22
54,920079,乔路铭,0.27,677563407.04,0.3426062053,-25.602,97086538.41,4.013016216,-24.1811,4.91630747358,5.54,1.133038854179,24.0759712442,汽车零部件,2026-06-18
55,875083,林泉股份,0.28,200653345.84,15.1916267896,,34649163.92,15.1004177282,,6.491282282369,4.35,0.415506395584,30.5604849714,,2026-06-18
56,874879,戈尔德,0.21,593014830.81,25.4927313174,,17792532.99,-33.2790589562,,19.01354011204,1.09,-0.792363658804,24.5532225292,,2026-06-18
57,874823,腾龙健康,0.2,76428444.21,-4.0622298815,,19128850.23,-28.0343727998,,5.488152307134,3.72,0.145500251684,53.3189115534,,2026-06-18
58,874777,中星联华,-0.07,20148604.97,-26.0410995388,,-2391306.29,-149.6632771997,,3.050212380278,-2.15,0.286130214722,50.3102263164,,2026-06-18
59,837611,德芯科技,0.23,40149332.55,13.0666539921,,13814122.82,41.89,,10.002839935333,2.33,-0.153168726333,51.7482840446,,2026-06-18
60,301583,托伦斯,0.11,178753596.17,15.3740665424,,14641449.14,-14.5758737552,,6.539564056125,1.63,-0.543125647814,23.2516962011,半导体,2026-06-18
61,875148,普诺威,0.3,219969574.32,69.6627600037,,42560432.13,129.0149735147,,6.403646501868,4.8,-0.108228854071,32.6305192443,,2026-06-17
62,875117,北变科技,0.27,142845024.95,71.1735932528,,15294248.96,68.4018629691,,6.720618936425,4.04,-0.253288371027,21.9238261822,,2026-06-17
63,875037,景隆智装,0.02,58217804.66,-31.6448900999,,1073857.02,-86.3441323176,,8.4805001336,0.25,-0.2966015102,35.3707475063,,2026-06-17
64,875000,江苏永成,0.17,483595910.93,28.9952565438,,19799538.23,1004.4690996952,,6.703011500464,2.54,-1.768355719145,15.0236502993,,2026-06-17
65,874847,美昱新材,0.66,253602878.67,11.9886262454,,19766193.48,38.3525732357,,15.396809399333,4.37,-0.159931889667,14.9954067554,,2026-06-17
66,874831,利星科技,1.44,506311447.59,83.0355316133,,77620284.29,289.3690837567,,16.385052233216,9.17,-0.673366892362,24.5745799334,,2026-06-17
67,874817,昊翔股份,0.54,219018925.57,51.857443563,,27049282.66,44.0204747492,,8.5893013124,6.53,0.413869614,21.6952475665,,2026-06-17
68,874496,贝昂智能,0.28,123144023.15,4.4277712772,,16961005.25,-22.9939917566,,5.6975455595,5.09,-0.304351921,55.4749573244,,2026-06-17
69,874369,贵鑫环保,0.53,181825951.27,282.2313388623,,22330343.81,3257.959717946,,11.141754213481,4.86,-0.39371074445,20.53149414,,2026-06-17
70,875078,聚能磁体,0.0572,30357403.94,49.5544815414,,4857944.47,78.243697297,,4.162845167765,1.38,0.119861557412,43.9549533167,,2026-06-16
71,875070,陌桑高科,1.05,532403972.72,52.1730197738,,158571217.07,242.6873035582,,11.900423449423,9.22,1.54268071769,37.8956664615,,2026-06-16
72,874821,易事达,0.47,105946213.09,10.9829350157,,16199831.36,-10.6050286227,,11.264591161116,4.29,-0.047909929086,33.829938527,,2026-06-16
73,874806,华光股份,0.05,332083107.64,8.7684736209,,25456740.08,84.4980683333,,2.100150708374,,0.073216627608,18.2801905527,,2026-06-16
74,874766,远征传导,0.06,82925796.31,-44.661734844,,3181226.71,-46.0884138353,,6.846122056792,0.88,-1.729007123396,15.9727029216,,2026-06-16
75,874673,金龙稀土,0.0342,1691331374.99,32.6478210176,,84967181.88,42.6192932914,,1.591033688501,2.17,-0.395013612536,13.3138817868,,2026-06-16
76,874593,安特磁材,0.26,153356422.1,-1.8704203569,,15573675.51,-13.0277951194,,6.647833468333,3.98,0.2068318395,17.8344439023,,2026-06-16
77,874070,天广实,-0.67,20152442.07,-74.21459715,48.419,-50410904.8,-3795.8028612918,-234.7649,1.705690899468,-33.96,-0.535735405741,86.6415623444,,2026-06-16
78,874049,文依电气,0.31,97888921.41,26.9266672542,,17388985.47,66.9266253683,,7.563225931581,4.21,0.023890437865,43.0930545483,,2026-06-16
79,874886,映日科技,0.44,221669942.04,-2.28045771,61.9391,39683822.46,6.4851325172,153.158,9.343687016917,4.87,-1.551903317502,27.1439759835,,2026-06-15
80,874717,鹰峰电子,0.14,381269419.23,-16.7453925217,,15063427.71,-6.5215839149,,10.671315660112,1.36,0.04160360939,17.0328667878,,2026-06-15
81,874989,恒业股份,0.05,42528200.73,138.556661968,,5569117.91,482.9580857914,,3.243792838923,1.41,0.048518617462,38.8807542905,,2026-06-12
82,874868,华日激光,0.16,74196309.53,52.3548227836,,7864271.71,170.8334287422,,6.589373544811,2.51,-0.767613336022,44.840159114,,2026-06-12
83,874810,中欣晶圆,-0.03,587533241.1,49.4384689552,,-132089452.69,33.8528849623,,0.893310219797,-2.79,-0.035867674853,-10.4650376181,,2026-06-12
84,874419,振华海科,0.16,111857086.42,8.6918554523,,18289493.92,535.3393685433,,7.052755367592,2.29,-0.003583091592,27.8165834958,,2026-06-12
85,874390,佑威新材,0.58,191192029.0,10.6186626178,,28929707.69,98.4362781371,,15.942978108,3.7,-0.073265758,28.5229668283,,2026-06-12
86,872824,先歌国际,0.06,107451607.18,-5.133025216,-25.0463,12812570.69,4.6706402747,-54.439,2.32332182525,2.78,0.06907030455,44.9938219993,,2026-06-12
87,874781,泰丰智能,0.19,164462390.19,33.4088458635,,12654521.41,10.2107327281,,12.285523377785,1.52,-1.009408687481,23.6331532122,,2026-06-11
88,874451,紫光国芯,2.0266,868130086.48,232.1400996646,,276265611.61,2225.1803332659,,10.99662747942,20.3,-4.548750732959,48.0138828836,,2026-06-11
89,874249,邦泽创科,0.86,472699850.93,11.8418074664,8.7917,45516852.92,2.4023338483,12.2678,12.087675391384,7.42,1.312593342747,42.1578905743,,2026-06-11
90,874023,传美讯,0.11,55567995.9,10.5109920441,,9612111.62,3.6775533855,,2.940204853172,3.84,0.05113217624,39.2683405917,,2026-06-11
91,872726,中机试验,0.07,108117196.35,25.4478695144,,7532891.52,4.53576097,,4.987712371493,1.41,-0.300014831702,24.4029527131,,2026-06-11
92,001248,华润新能源,0.15,6210765692.24,-2.8098388038,,1616795103.15,-31.07,,,,,46.6798585304,电力,2026-06-11
