rank,code,name,industry,uplift_pct,individual_error,hist_date,hist_close,hist_change_pct,hist_turnover,hist_amount,individual_price,total_shares,float_shares,individual_market_cap,individual_float_market_cap,individual_industry,listing_date,hist_error,final_price,final_market_cap,final_float_market_cap
29,002290,禾盛新材,家用电器,631.74,,2026-08-06,57.13,1.38,1.04,143327214.85,57.13,248112330.0,247326818.0,14174657412.900002,14129781112.34,家电零部件Ⅱ,20090903.0,,57.13,14174657412.900002,14129781112.34
30,002796,世嘉科技,通信设备,631.44,,2026-08-06,28.99,4.13,3.68,237270172.63,28.99,252366948.0,227708203.0,7316117822.5199995,6601260804.969999,通信设备,20160510.0,,28.99,7316117822.5199995,6601260804.969999
31,301306,西测测试,航空,629.5,,2026-08-06,93.81,2.64,2.78,150294985.0,93.93,84400000.0,58262500.0,7927692000.000001,5472596625.0,军工电子Ⅱ,20220726.0,,93.93,7927692000.000001,5472596625.0
32,301209,联合化学,染料涂料,629.45,,2026-08-06,49.18,-0.04,0.61,39745721.45,49.18,156800000.0,133956200.0,7711424000.0,6587965916.0,化学制品,20220825.0,,49.18,7711424000.0,6587965916.0
33,600105,永鼎股份,通信设备,628.4,,2026-08-06,36.98,1.18,4.76,2513503446.0,36.98,1461994802.0,1461994802.0,54064567777.96,54064567777.96,通信设备,19970929.0,,36.98,54064567777.96,54064567777.96
34,688028,沃尔德,机械基件,621.86,,2026-08-06,83.91,6.22,2.84,346221806.0,83.91,150949000.0,150949000.0,12666130590.0,12666130590.0,通用设备,20190722.0,,83.91,12666130590.0,12666130590.0
35,300486,东杰智能,专用机械,617.1,,2026-08-06,20.14,0.7,0.98,93136480.5,20.13,477148936.0,477005527.0,9605008081.68,9602121258.51,自动化设备,20150630.0,,20.13,9605008081.68,9602121258.51
36,603308,应流股份,机械基件,591.93,,,,,,,48.3,679050729.0,679050729.0,32798150210.699997,32798150210.699997,通用设备,20140122.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",48.3,32798150210.699997,32798150210.699997
37,002379,宏桥控股,铝,591.14,,,,,,,18.91,13031118202.0,1136373753.0,246418445199.82,21488827669.23,工业金属,20100331.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",18.91,246418445199.82,21488827669.23
38,300475,香农芯创,元器件,589.39,,,,,,,150.67,469541767.0,450035767.0,70745858033.89,67806889013.88999,其他电子Ⅱ,20150610.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",150.67,70745858033.89,67806889013.88999
39,000657,中钨高新,小金属,587.91,,,,,,,62.1,2278604400.0,1453452007.0,141501333240.0,90259369634.7,小金属,19961205.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",62.1,141501333240.0,90259369634.7
40,301326,捷邦科技,元器件,586.36,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
41,605196,华通线缆,电气设备,586.33,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
42,300972,万辰集团,食品,583.87,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",,,
