code,individual_error,hist_date,hist_close,hist_change_pct,hist_turnover,hist_amount,individual_price,total_shares,float_shares,individual_market_cap,individual_float_market_cap,individual_industry,listing_date,hist_error
300548,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002379,,,,,,,18.91,13031118202.0,1136373753.0,246418445199.82,21488827669.23,工业金属,20100331.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300475,,,,,,,150.67,469541767.0,450035767.0,70745858033.89,67806889013.88999,其他电子Ⅱ,20150610.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000657,,,,,,,62.1,2278604400.0,1453452007.0,141501333240.0,90259369634.7,小金属,19961205.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603308,,,,,,,48.3,679050729.0,679050729.0,32798150210.699997,32798150210.699997,通用设备,20140122.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300749,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,20.73,5.82,2.15,68800504.0,,,,,,,,
688656,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,86.85,-0.21,0.15,8337392.0,,,,,,,,
688325,,2026-08-06,109.11,2.12,0.25,22357393.0,109.11,86466427.0,82181375.0,9434351849.97,8966809826.25,半导体,20220422.0,
301326,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
605196,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300972,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300720,,2026-08-06,70.3,8.69,5.34,659924653.06,70.11,194877256.0,184145221.0,13662844418.16,12910421444.31,通用设备,20171106.0,
002364,,2026-08-06,38.96,-0.13,1.53,329482799.13,38.98,563564960.0,558103760.0,21967762140.8,21754884564.8,其他电源设备Ⅱ,20100305.0,
688629,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
301183,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002052,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002842,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
688227,,,,,,,83.46,113055275.0,113055275.0,9435593251.5,9435593251.5,IT服务Ⅱ,20211230.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300102,,,,,,,18.83,920333863.0,915923732.0,17329886640.289997,17246843873.559998,光学光电子,20100812.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300436,,,,,,,92.64,159267000.0,136721969.0,14754494880.0,12665923208.16,化学制药,20150422.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
301248,,,,,,,63.08,153705000.0,112328700.0,9695711400.0,7085694396.0,IT服务Ⅱ,20220420.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300857,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600410,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,16.27,0.74,5.34,945587954.0,,,,,,,,
603822,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,59.0,0.68,0.23,10508617.0,,,,,,,,
688622,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,104.38,-3.53,0.46,33199132.0,,,,,,,,
688011,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002046,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,46.36,2.23,0.84,202708054.2,,,,,,,,
000533,,2026-08-06,12.11,-4.65,9.12,764499415.81,12.11,690816000.0,684902400.0,8365781760.0,8294168064.0,电网设备,19940103.0,
300806,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
605376,,2026-08-06,163.81,3.91,4.04,1695255909.0,163.52,261600000.0,261600000.0,42776832000.0,42776832000.0,金属新材料,20201208.0,
688702,,2026-08-06,369.38,5.4,2.46,1795818876.0,369.38,410000000.0,202991783.0,151445800000.0,74981104804.54,半导体,20230914.0,
000833,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300731,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
301018,,,,,,,84.57,374281339.0,282822899.0,31652972839.229996,23918332568.429996,通用设备,20210707.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
001309,,,,,,,382.42,226845658.0,165029754.0,86750316532.36,63110678524.68,半导体,20220701.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
600289,,,,,,,4.43,631052069.0,565922684.0,2795560665.6699996,2507037490.12,通信服务,20000720.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
603667,,,,,,,55.63,383151922.0,366202770.0,21314741420.86,20371860095.100002,通用设备,20161025.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300658,,,,,,,10.68,332764105.0,220843860.0,3553920641.4,2358612424.7999997,个护用品,20170602.0,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300718,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
300604,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002837,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002428,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
002716,,2026-08-06,8.9,1.48,6.63,1376647196.52,8.91,2823088646.0,2322475674.0,25153719835.86,20693258255.34,贵金属,20140128.0,
301128,JSONDecodeError: Expecting value: line 1 column 1 (char 0),,,,,,,,,,,,,"ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
000962,JSONDecodeError: Expecting value: line 1 column 1 (char 0),2026-08-06,54.64,5.83,5.35,1433798444.83,,,,,,,,
000973,,2026-08-06,12.47,-0.16,1.08,130124231.6,12.47,2458236766.0,967423171.0,30654212472.02,12063766942.37,塑料,20000525.0,
688309,,2026-08-06,68.09,2.5,1.05,55822221.0,68.09,79401269.0,79401269.0,5406432406.21,5406432406.21,环保设备Ⅱ,20200714.0,
