序号,代码,名称,最新价,涨跌幅,换手率,市盈率,主力成本,机构参与度,综合得分,上升,目前排名,关注指数,交易日
1050,002561,徐家汇,6.62,-0.3,0.19,-1136.27,6.655779161719,0.1265664,52.65109985,-41,5052,73.2,2026-08-05
1051,002562,兄弟科技,4.55,-0.44,0.42,36.9,4.546737326151,0.2529988,61.86541512,-120,3322,73.6,2026-08-05
1052,002563,森马服饰,6.04,-1.31,0.27,13.07,6.078863990727,0.1240888,65.85303051,-473,2167,76.8,2026-08-05
1053,002564,天沃科技,4.47,0.68,0.49,294.4,4.421496929738,0.2328836,57.49238483,-46,4413,72.8,2026-08-05
1054,002565,顺灏股份,10.25,8.35,7.04,135.92,9.443531867836,0.1864524,59.5777822,46,3955,73.6,2026-08-05
1055,002566,益盛药业,6.47,0.31,1.29,33.16,6.441719632886,0.1578728,53.79363021,95,4953,70.8,2026-08-05
1056,002567,唐人神,3.59,-1.1,0.28,-2.06,3.616701024209,0.274936,65.19263506,1517,2364,74.0,2026-08-05
1057,002568,百润股份,19.45,-1.37,0.66,21.15,19.563698648803,0.2289348,71.84292172,227,736,85.6,2026-08-05
1058,002569,*ST步森,12.61,-0.71,0.38,-108.84,12.718184583115,0.1923448,56.44753041,-714,4592,62.0,2026-08-05
1059,002570,贝因美,4.43,0.0,0.48,30.71,4.414922794032,0.2435072,59.37830339,-38,4003,76.8,2026-08-05
1060,002571,德力股份,10.86,1.31,0.78,-58.9,10.691765350314,0.3322996,55.19106469,-1484,4793,67.6,2026-08-05
1061,002572,索菲亚,8.34,-1.53,0.57,-52.25,8.468610883298,0.1380068,62.00344166,-827,3279,78.4,2026-08-05
1062,002573,清新环境,3.23,0.0,0.11,52.98,3.245233010011,0.179734,58.89995418,-138,4112,68.4,2026-08-05
1063,002574,明牌珠宝,4.57,0.44,0.9,49.0,4.545601888277,0.1861584,58.88555471,866,4117,67.6,2026-08-05
1064,002575,群兴玩具,5.31,-0.19,1.69,-919.17,5.323151663962,0.191058,57.63569591,-1826,4378,78.0,2026-08-05
1065,002576,通达动力,14.6,-0.34,0.73,27.5,14.712840839917,0.1761172,59.41334377,-1677,3992,72.0,2026-08-05
1066,002577,雷柏科技,18.89,1.02,0.39,177.74,18.80407532635,0.1762788,59.44342843,-487,3985,78.8,2026-08-05
